"","Gamma","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"789","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009344,0.55,0.497214463005877
"790","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"791","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"792","One",0,0.244221076326376,0.542039810249815,0.20811559747128,0.129730921924793,0.33140691567934,0.350660494948247,0.470975661273973,0.55,0.497214463005877
"793","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383051,0.65,0.411636301174282
"794","One",0,0.111009580148353,0.279762482709582,0.402356821777809,0.345321871754329,0.12892330449325,0.138948833151346,0.279012843721142,0.65,0.411636301174282
"795","One",0,0.111009580148353,0.279762482709582,0.402356821777809,0.345321871754329,0.12892330449325,0.138948833151346,0.279012843721143,0.65,0.411636301174282
"796","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475522,0.55,0.497214463005877
"797","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625505,0.7,0.349602949390051
"798","One",0,0.555047900741763,0.221478632145086,0.332984955954049,0.498474723547237,0.160185263912487,0.141245103885099,0.493931143119805,0.65,0.411636301174282
"799","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"800","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.266964686909909,0.6,0.459468291736341
"801","One",0,0.111009580148353,0.279762482709582,0.402356821777809,0.345321871754329,0.12892330449325,0.138948833151346,0.279012843721142,0.65,0.411636301174282
"802","One",0,0.310826824415387,0.303076022935381,0.332984955954049,0.0468822328753032,0.115727342061799,0.122895686482575,0.322976556280178,0.6,0.459468291736341
"803","One",0,0.532845984712093,0.279762482709582,0.485603060766321,0.529411686261001,0.12892330449325,0.129918318049236,0.586516002203178,0.65,0.411636301174282
"804","One",0,0.244221076326376,0.542039810249815,0.20811559747128,0.129730921924793,0.33140691567934,0.350660494948247,0.470975661273974,0.55,0.497214463005877
"805","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"806","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009344,0.55,0.497214463005877
"807","One",0,0.244221076326376,0.542039810249815,0.20811559747128,0.129730921924793,0.33140691567934,0.350660494948247,0.470975661273973,0.55,0.497214463005877
"808","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654403,0.55,0.497214463005877
"809","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009344,0.55,0.497214463005877
"810","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005841,0.55,0.497214463005877
"811","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"812","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"813","One",0,0.577249816771434,0.221478632145086,0.0554974926590083,0.222563291188069,0.160185263912487,0.0403097757062798,0.378133186162642,0.7,0.349602949390051
"814","One",0,0.288624908385717,0.209821862032187,0.804713643555617,0.0627274304568259,0.167795455219993,0.0151759526334031,0.50194371672398,0.6,0.459468291736341
"815","One",0,0.532845984712093,0.279762482709582,0.485603060766321,0.529411686261001,0.12892330449325,0.129918318049236,0.586516002203178,0.65,0.411636301174282
"816","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654403,0.55,0.497214463005877
"817","One",0,0.532845984712093,0.279762482709582,0.485603060766321,0.529411686261001,0.12892330449325,0.129918318049236,0.586516002203178,0.65,0.411636301174282
"818","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625504,0.7,0.349602949390051
"819","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.3862108319521,0.55,0.497214463005877
"820","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005841,0.55,0.497214463005877
"821","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.26696468690991,0.6,0.459468291736341
"822","One",0,0.355230656474728,0.303076022935381,0.110994985318016,0.0383108565648579,0.115727342061799,0.11449773396524,0.229451615732571,0.7,0.349602949390051
"823","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"824","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009346,0.55,0.497214463005877
"825","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475522,0.55,0.497214463005877
"826","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"827","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"828","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"829","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005841,0.55,0.497214463005877
"830","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625504,0.7,0.349602949390051
"831","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383052,0.65,0.411636301174282
"832","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"833","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383051,0.65,0.411636301174282
"834","One",0,0.532845984712093,0.279762482709582,0.485603060766321,0.529411686261001,0.12892330449325,0.129918318049236,0.586516002203178,0.65,0.411636301174282
"835","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.743598784488981,0.55,0.497214463005877
"836","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.26696468690991,0.6,0.459468291736341
"837","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.743598784488981,0.55,0.497214463005877
"838","One",0,0.288624908385717,0.209821862032187,0.804713643555617,0.0627274304568259,0.167795455219993,0.0151759526334031,0.501943716723981,0.6,0.459468291736341
"839","One",0,0.555047900741763,0.279762482709582,0.097120612153264,0.252003778549566,0.12892330449325,0.0270332470347314,0.407563636625504,0.7,0.349602949390051
"840","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.266964686909909,0.6,0.459468291736341
"841","One",0,0.555047900741763,0.0407986953951474,0.0138743731647521,0.0124905028999219,0.168852307957761,0.229061677194128,0.312061040951584,0.6,0.459468291736341
"842","One",0,0.288624908385717,0.209821862032187,0.804713643555617,0.0627274304568259,0.167795455219993,0.0151759526334031,0.50194371672398,0.6,0.459468291736341
"843","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005838,0.55,0.497214463005877
"844","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.743598784488981,0.55,0.497214463005877
"845","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072297,0.55,0.497214463005877
"846","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.266964686909909,0.6,0.459468291736341
"847","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.266964686909909,0.6,0.459468291736341
"848","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"849","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654403,0.55,0.497214463005877
"850","One",0,0.111009580148353,0.279762482709582,0.402356821777809,0.345321871754329,0.12892330449325,0.138948833151346,0.279012843721142,0.65,0.411636301174282
"851","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"852","One",0,0.577249816771434,0.221478632145086,0.0554974926590083,0.222563291188069,0.160185263912487,0.0403097757062798,0.378133186162642,0.7,0.349602949390051
"853","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"854","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.3862108319521,0.55,0.497214463005877
"855","One",0,0.555047900741763,0.221478632145086,0.332984955954049,0.498474723547237,0.160185263912487,0.141245103885099,0.493931143119805,0.65,0.411636301174282
"856","One",0,0.310826824415387,0.303076022935381,0.332984955954049,0.0468822328753032,0.115727342061799,0.122895686482575,0.322976556280177,0.6,0.459468291736341
"857","One",0,0.244221076326376,0.542039810249815,0.20811559747128,0.129730921924793,0.33140691567934,0.350660494948247,0.470975661273974,0.55,0.497214463005877
"858","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383052,0.65,0.411636301174282
"859","One",0,0.377432572504399,0.285590867766032,0.638221165578593,0.240405849337061,0.202542909707526,0.241815762762069,0.550422605383052,0.65,0.411636301174282
"860","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"861","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"862","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072297,0.55,0.497214463005877
"863","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429639,0.6,0.459468291736341
"864","One",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479805,0.147003389170079,0.135019135332764,0.26696468690991,0.6,0.459468291736341
"865","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654403,0.55,0.497214463005877
"866","One",0,0.288624908385717,0.209821862032187,0.804713643555617,0.0627274304568259,0.167795455219993,0.0151759526334031,0.501943716723981,0.6,0.459468291736341
"867","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"868","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005841,0.55,0.497214463005877
"869","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.3862108319521,0.55,0.497214463005877
"870","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429638,0.6,0.459468291736341
"871","One",0,0.555047900741763,0.221478632145086,0.332984955954049,0.498474723547237,0.160185263912487,0.141245103885099,0.493931143119805,0.65,0.411636301174282
"872","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.74359878448898,0.55,0.497214463005877
"873","One",0,0.266422992356046,0.559524965419164,0.291361836459793,0.165925619966972,0.240433054579376,0.111408015758267,0.363056669005841,0.55,0.497214463005877
"874","One",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475522,0.55,0.497214463005877
"875","One",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663783,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"876","One",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"877","One",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985845,0.199123486832139,0.0311463343471446,0.612960253429639,0.6,0.459468291736341
"878","One",0,0.555047900741763,0.221478632145086,0.332984955954049,0.498474723547237,0.160185263912487,0.141245103885099,0.493931143119805,0.65,0.411636301174282
"879","One",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527187,0.381349365654402,0.55,0.497214463005877
"880","One",0,0.42183640456374,0.565353350475614,0.13874373164752,0.0950364307732744,0.318325644431228,0.212774539889774,0.386210831952104,0.55,0.497214463005877
"881","One",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009344,0.55,0.497214463005877
"882","One",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617779,1.08982856716765,0.217016408985777,0.743598784488981,0.55,0.497214463005877
